ACEH,"11",1,1
SUMATERA UTARA,"12",1,1
SUMATERA BARAT,"13",1,1
RIAU,"14",1,1
JAMBI,"15",1,1
SUMATERA SELATAN,"16",1,1
BENGKULU,"17",1,1
LAMPUNG,"18",1,1
KEPULAUAN BANGKA BELITUNG,"19",1,1
KEPULAUAN RIAU,"21",1,1
DKI JAKARTA,"31",1,1
JAWA BARAT,"32",1,1
JAWA TENGAH,"33",1,1
DAERAH ISTIMEWA YOGYAKARTA,"34",1,1
JAWA TIMUR,"35",1,1
BANTEN,"36",1,1
BALI,"51",1,1
NUSA TENGGARA BARAT,"52",1,1
NUSA TENGGARA TIMUR,"53",1,1
KALIMANTAN BARAT,"61",1,1
KALIMANTAN TENGAH,"62",1,1
KALIMANTAN SELATAN,"63",1,1
KALIMANTAN TIMUR,"64",1,1
KALIMANTAN UTARA,"65",1,1
SULAWESI UTARA,"71",1,1
SULAWESI TENGAH,"72",1,1
SULAWESI SELATAN,"73",1,1
SULAWESI TENGGARA,"74",1,1
GORONTALO,"75",1,1
SULAWESI BARAT,"76",1,1
MALUKU,"81",1,1
MALUKU UTARA,"82",1,1
PAPUA,"91",1,1
PAPUA BARAT,"92",1,1